timestamp,symbol,direction,entry_price,exit_price,quantity,pnl_usd,balance_after,exit_reason
2024-09-15T08:15:00+00:00,BTCUSDT,long,60090.30,60017.38,0.01,-0.729166,9999.27,stop
2024-09-15T15:30:00+00:00,BTCUSDT,short,60210.00,60333.80,0.01,-1.238000,9998.03,structure
2024-09-15T20:15:00+00:00,BTCUSDT,long,59772.30,59686.52,0.01,-0.857842,9997.17,stop
2024-09-16T01:00:00+00:00,BTCUSDT,long,58640.20,58539.97,0.01,-1.002254,9996.17,stop
2024-09-16T01:45:00+00:00,BTCUSDT,long,58639.70,58560.40,0.01,-0.793000,9995.38,structure
2024-09-16T05:45:00+00:00,BTCUSDT,short,58448.40,58623.44,0.01,-1.750400,9993.63,stop
2024-09-16T08:00:00+00:00,BTCUSDT,short,58864.40,58902.55,0.01,-0.381516,9993.25,stop
2024-09-16T13:15:00+00:00,BTCUSDT,long,58492.60,58371.44,0.01,-1.211579,9992.04,stop
2024-09-16T17:30:00+00:00,BTCUSDT,long,57656.90,57810.85,0.01,1.539544,9993.58,target
2024-09-16T23:00:00+00:00,BTCUSDT,short,57743.60,58042.60,0.01,-2.990000,9990.59,structure
2024-12-14T01:00:00+00:00,BTCUSDT,short,101327.50,101518.09,0.01,-1.905910,9988.68,stop
2024-12-14T06:00:00+00:00,BTCUSDT,long,101701.80,101855.57,0.01,1.537704,9990.22,target
2024-12-14T10:00:00+00:00,BTCUSDT,long,101533.90,101414.42,0.01,-1.194820,9989.02,stop
2024-12-14T13:00:00+00:00,BTCUSDT,long,101263.50,101192.00,0.01,-0.715000,9988.31,structure
2024-12-14T17:30:00+00:00,BTCUSDT,short,101603.00,101158.62,0.01,4.443834,9992.75,target
2024-12-14T19:15:00+00:00,BTCUSDT,long,100950.10,101076.84,0.01,1.267448,9994.02,target
2024-12-15T04:00:00+00:00,BTCUSDT,long,101700.30,101959.64,0.01,2.593440,9996.61,target
2024-12-15T10:00:00+00:00,BTCUSDT,long,101703.70,102246.62,0.01,5.429202,10002.04,target
2024-12-15T21:15:00+00:00,BTCUSDT,short,103346.30,102964.68,0.01,3.816170,10005.86,target
2024-12-15T22:00:00+00:00,BTCUSDT,long,102832.50,102921.00,0.01,0.885000,10006.74,structure
2025-03-14T08:15:00+00:00,BTCUSDT,short,82277.80,82457.77,0.01,-1.799699,10004.94,stop
2025-03-14T14:45:00+00:00,BTCUSDT,short,83089.20,83056.41,0.01,0.327907,10005.27,stop
2025-03-14T21:00:00+00:00,BTCUSDT,long,84083.90,83912.42,0.01,-1.714784,10003.56,stop
2025-03-15T02:45:00+00:00,BTCUSDT,short,84304.50,84574.42,0.01,-2.699162,10000.86,stop
2025-03-15T07:30:00+00:00,BTCUSDT,short,84329.90,83852.30,0.01,4.776000,10005.63,target
2025-03-15T10:45:00+00:00,BTCUSDT,long,83786.20,83850.40,0.01,0.641960,10006.28,target
2025-06-12T03:15:00+00:00,BTCUSDT,long,108482.90,108175.51,0.01,-3.073875,10003.20,stop
2025-06-12T07:30:00+00:00,BTCUSDT,long,107670.50,107516.08,0.01,-1.544236,10001.66,stop
2025-06-12T10:00:00+00:00,BTCUSDT,long,107771.00,107355.74,0.01,-4.152595,9997.50,stop
2025-06-12T17:30:00+00:00,BTCUSDT,long,107017.30,108202.55,0.01,11.852480,10009.36,target
2025-06-13T07:30:00+00:00,BTCUSDT,short,104723.10,104712.27,0.01,0.108318,10009.47,stop
2025-06-13T12:00:00+00:00,BTCUSDT,short,104688.20,105041.90,0.01,-3.537000,10005.93,stop
2025-06-13T14:00:00+00:00,BTCUSDT,short,104835.80,104405.91,0.01,4.298897,10010.23,target
2025-06-13T21:15:00+00:00,BTCUSDT,short,105367.20,105498.48,0.01,-1.312825,10008.91,stop
2025-09-10T06:15:00+00:00,BTCUSDT,short,111477.20,111708.67,0.01,-2.314656,10006.60,stop
2025-09-10T12:00:00+00:00,BTCUSDT,long,112258.00,112422.89,0.01,1.648873,10008.25,target
2025-09-11T03:30:00+00:00,BTCUSDT,short,113848.30,114175.65,0.01,-3.273520,10004.97,stop
2025-09-11T14:00:00+00:00,BTCUSDT,short,114576.10,114521.29,0.01,0.548098,10005.52,stop
2025-12-09T00:30:00+00:00,BTCUSDT,long,90584.40,90406.52,0.01,-1.778771,10003.74,stop
2025-12-09T05:00:00+00:00,BTCUSDT,long,89886.50,89742.09,0.01,-1.444112,10002.30,stop
2025-12-09T13:30:00+00:00,BTCUSDT,long,90062.20,90703.74,0.01,6.415400,10008.72,target
2025-12-09T15:30:00+00:00,BTCUSDT,short,91109.40,91256.19,0.01,-1.467879,10007.25,stop
2025-12-10T01:30:00+00:00,BTCUSDT,long,92236.80,92032.57,0.01,-2.042278,10005.21,stop
2025-12-10T05:15:00+00:00,BTCUSDT,long,92200.00,92667.71,0.01,4.677058,10009.88,target
2026-03-09T03:00:00+00:00,BTCUSDT,short,66334.80,66766.50,0.01,-4.316959,10005.57,stop
2026-03-09T08:15:00+00:00,BTCUSDT,short,67520.40,67725.18,0.01,-2.047792,10003.52,stop
2026-03-09T13:00:00+00:00,BTCUSDT,short,67896.10,68428.26,0.01,-5.321604,9998.20,stop
2026-03-10T00:30:00+00:00,BTCUSDT,short,68943.80,69143.10,0.01,-1.993000,9996.20,structure
2026-03-10T01:30:00+00:00,BTCUSDT,short,69065.30,68763.50,0.01,3.018000,9999.22,target
2026-03-10T02:15:00+00:00,BTCUSDT,short,69187.00,69322.50,0.01,-1.355000,9997.87,structure
2026-03-10T07:45:00+00:00,BTCUSDT,short,70277.30,70428.06,0.01,-1.507600,9996.36,stop
2026-03-10T18:30:00+00:00,BTCUSDT,long,70282.70,70008.90,0.01,-2.738000,9993.62,structure
2026-03-10T22:00:00+00:00,BTCUSDT,long,69718.90,69520.18,0.01,-1.987192,9991.63,stop
2026-06-07T00:30:00+00:00,BTCUSDT,long,60516.00,60954.82,0.01,4.388174,9996.02,target
2026-06-07T03:45:00+00:00,BTCUSDT,short,61631.50,61666.00,0.01,-0.345000,9995.68,structure
2026-06-07T05:00:00+00:00,BTCUSDT,short,61851.00,61824.12,0.01,0.268802,9995.95,stop
2026-06-07T06:30:00+00:00,BTCUSDT,short,61830.20,62168.16,0.01,-3.379573,9992.57,stop
2026-06-07T07:30:00+00:00,BTCUSDT,short,62098.90,62224.88,0.01,-1.259800,9991.31,stop
2026-06-08T04:30:00+00:00,BTCUSDT,short,63116.40,62662.23,0.01,4.541659,9995.85,target
2026-06-08T12:45:00+00:00,BTCUSDT,short,63608.90,63659.45,0.01,-0.505536,9995.34,stop
2026-06-08T13:30:00+00:00,BTCUSDT,short,63557.40,63346.67,0.01,2.107339,9997.45,target
2026-06-08T16:15:00+00:00,BTCUSDT,short,63750.00,64005.19,0.01,-2.551918,9994.90,stop
2026-06-08T17:30:00+00:00,BTCUSDT,long,63606.50,63256.69,0.01,-3.498128,9991.40,stop
2026-06-17T11:00:00+00:00,BTCUSDT,long,63260.90,63822.12,0.01,5.612200,9997.01,target
2026-06-17T19:15:00+00:00,BTCUSDT,long,65341.10,65207.51,0.01,-1.335934,9995.68,stop
2026-06-18T07:30:00+00:00,BTCUSDT,long,63902.50,64403.43,0.01,5.009331,10000.68,target
2026-06-18T19:30:00+00:00,BTCUSDT,short,62654.30,62888.75,0.01,-2.344454,9998.34,stop
2026-06-18T20:15:00+00:00,BTCUSDT,short,63136.10,63003.19,0.01,1.329088,9999.67,stop
